========================================================================
  APPROACH B+ — Schema-Constrained LLM + RAG Ablation
  Model: gpt-4o-mini
  Run:   2026-05-01T16:57:01.274065
========================================================================

Dataset: 97 configs
Schema valid  : 85.6%  (83/97)
Semantic valid: 0.0%  (0/97)

EXPECTED INTERPRETATION (compare against paper Table 3):
  Approach A (rules-only)     : semantic_valid = 44.1%
  Approach B (zero-guardrail) : semantic_valid = 17.6%
  Approach B+ (this run)      : semantic_valid = 0.0%
  Approach C (full guardrails): semantic_valid = 97.1%

  B--B+ gap = prompt engineering alone
  B+--C gap = normalizer + semantic rules + retry loop

BY GROUP:
  access-nac              n= 9  schema=100.0%  semantic=0.0%  lat=20.9s
  arista-distribution     n=24  schema=100.0%  semantic=0.0%  lat=21.3s
  distribution            n= 6  schema=100.0%  semantic=0.0%  lat=13.5s
  oob-server              n=29  schema=51.7%  semantic=0.0%  lat=37.7s
  other                   n=24  schema=100.0%  semantic=0.0%  lat=27.7s
  remote-edge             n= 5  schema=100.0%  semantic=0.0%  lat=25.4s

RULE VIOLATIONS:
  Rule 117: 1 configs
  Rule 121: 97 configs

PER-CONFIG:
  BLDG-A-FLOOR1-SW01.txt                    11.5s  sch:OK  sem:FAIL  121
  BLDG-A-FLOOR2-SW01.txt                    11.9s  sch:OK  sem:FAIL  121
  BLDG-A-FLOOR3-SW01.txt                    23.9s  sch:OK  sem:FAIL  121
  BLDG-B-FLOOR1-SW01.txt                    10.6s  sch:OK  sem:FAIL  121
  BLDG-B-FLOOR2-SW01.txt                    44.9s  sch:OK  sem:FAIL  117,121
  BLDG-C-FLOOR1-SW01.txt                    11.0s  sch:OK  sem:FAIL  121
  BLDG-C-FLOOR2-SW01.txt                    26.8s  sch:OK  sem:FAIL  121
  BLDG-D-FLOOR1-SW01.txt                    29.6s  sch:OK  sem:FAIL  121
  BLDG-D-FLOOR2-SW01.txt                    29.3s  sch:OK  sem:FAIL  121
  BLDG-D-FLOOR3-SW01.txt                    27.4s  sch:OK  sem:FAIL  121
  BLDG-E-FLOOR1-SW01.txt                    27.7s  sch:OK  sem:FAIL  121
  BLDG-E-FLOOR2-SW01.txt                    24.9s  sch:OK  sem:FAIL  121
  BLDG-E-FLOOR3-SW01.txt                    27.1s  sch:OK  sem:FAIL  121
  BLDG-F-FLOOR1-SW01.txt                    24.4s  sch:OK  sem:FAIL  121
  BLDG-F-FLOOR2-SW01.txt                    31.4s  sch:OK  sem:FAIL  121
  BLDG-F-FLOOR3-SW01.txt                    25.4s  sch:OK  sem:FAIL  121
  BLDG-FR-FLOOR1-SW01.txt                   13.3s  sch:OK  sem:FAIL  121
  BLDG-G-FLOOR1-SW01.txt                    27.8s  sch:OK  sem:FAIL  121
  BLDG-G-FLOOR2-SW01.txt                    23.8s  sch:OK  sem:FAIL  121
  BLDG-G-FLOOR3-SW01.txt                    23.7s  sch:OK  sem:FAIL  121
  BLDG-H-FLOOR1-SW01.txt                    25.9s  sch:OK  sem:FAIL  121
  BLDG-H-FLOOR2-SW01.txt                    27.1s  sch:OK  sem:FAIL  121
